video_id,title,published_date,year,month,day_of_week
WJ8iTQpNxZA,Spherical Coordinate System Explained | Electromagnetic Theory,2026-01-04 05:06:29+00:00,2026,1,Sunday
c_uhZ-yl-Rs,Cylindrical Coordinate System Explained | Cartesian to Cylindrical Vector Conversion Explained,2025-12-25 18:51:09+00:00,2025,12,Thursday
QiJYv4hHcLY,What is Virtual Ground in Op-Amp ? Why Virtual Ground Concept exist in Op-Amp?,2025-12-09 17:52:45+00:00,2025,12,Tuesday
Fk49H5xS_h0,Interesting thing about XOR and XNOR gates you should know !! #digitalelectronics,2025-11-30 16:38:52+00:00,2025,11,Sunday
tWyPuCbYLUg,"Solved Problems on Vectors, Vector Algebra and Vector Fields | Electromagnetic Theory",2025-11-06 15:10:54+00:00,2025,11,Thursday
jGoVQ6tDE3M,Vector Algebra | Vector Addition and Subtraction | Concept of Vector Fields,2025-11-01 05:30:07+00:00,2025,11,Saturday
FsS-FUdS4J4,Introduction to Electromagnetic Theory,2025-10-12 14:46:29+00:00,2025,10,Sunday
0LSH-xH5LN4,What is PCB Vias ? Types of Vias in PCB. #pcb #allaboutelectronics,2025-10-04 18:06:26+00:00,2025,10,Saturday
Gu9M1auKVsk,Different Operating Regions of BJT #allaboutelectronics #bjt,2025-10-02 16:06:43+00:00,2025,10,Thursday
XeZtJwiF4Oc,PCB Explained | What is PCB ? Types of PCB | Fabrication process of PCB Explained,2025-09-22 10:41:15+00:00,2025,9,Monday
GHQ8vbOZMnI,What is Zero PCB ? Why it is used? How Zero PCB is made ? #pcbs,2025-09-09 17:03:45+00:00,2025,9,Tuesday
zQfhn1jyePY,How Schottky Diode is Different from Normal Diode? #allaboutelectronics,2025-09-02 19:06:10+00:00,2025,9,Tuesday
6UrTvTjGR4Q,"Different IC Packages Explained | DIP, SOIC, QFP, QFN and BGA Packages Explained",2025-08-21 15:20:30+00:00,2025,8,Thursday
1WMSB1Nl9VA,Zener Diode Solved Problems | Line and Load Regulation in Zener Diode as Voltage Regulators,2025-07-31 07:03:04+00:00,2025,7,Thursday
ztDimUBc2dU,4 to 20 mA Standard Explained | Advantages of 4 to 20 mA Standard,2025-06-21 07:31:28+00:00,2025,6,Saturday
Hs1augUS2bQ,BJT Cascode Amplifier Explained | Small-signal analysis of Cascode Amplifier,2025-06-01 18:50:19+00:00,2025,6,Sunday
_g9j94XPnpQ,How PLC is different from Microcontroller | PLC vs Microcontroller,2025-05-18 04:29:33+00:00,2025,5,Sunday
8OGncimlICw,What is Sample and Hold ?  Sample and Hold Explained,2025-04-28 19:08:16+00:00,2025,4,Monday
AFg16GGRyME,BiCMOS Logic Gates Explained | BiCMOS NAND gate and NOR gates,2025-04-12 19:13:07+00:00,2025,4,Saturday
UHy056cC9gg,What is Diode Connected Transistor? #allaboutelectronics,2025-04-02 18:09:12+00:00,2025,4,Wednesday
zx8BVBos2kA,What is PECL and LVPECL logic ? #allaboutelectronics,2025-03-20 17:13:40+00:00,2025,3,Thursday
gZdgOcE9FN0,ECL Logic Explained | ECL OR and NOR gate explained,2025-03-10 17:42:20+00:00,2025,3,Monday
h2dRSxNb4to,Why do LEDs emit Light while Diodes do not ?#led #diode,2025-02-24 18:31:18+00:00,2025,2,Monday
UinhkuseB2Y,"TTL Sub Families | Schottky TTL (74 S series), Low Power Schottky TTL (74 LS) Explained",2025-02-15 17:44:15+00:00,2025,2,Saturday
OF5QgmKb6f8,TTL Open Collector gates and Tri-State TTL gates Explained,2025-02-01 07:32:42+00:00,2025,2,Saturday
sDn2hi5ndCA,TTL Logic: TTL NAND and NOR gates Explained,2025-01-23 18:15:35+00:00,2025,1,Thursday
O5M2osASIQA,Why TTL logic gates have Totem Pole output stage ? #digitalelectronics,2025-01-18 05:17:19+00:00,2025,1,Saturday
I74vWLGif_o,TTL Logic Explained | TTL Inverter Circuit | Noise Margin and Fanout of TTL Circuits,2025-01-12 18:00:06+00:00,2025,1,Sunday
30KLkeL0_DY,Series Resonance Vs Parallel Resonance #resonance,2025-01-02 17:36:55+00:00,2025,1,Thursday
YUHeZ8QWTVo,Booth&#39;s Algorithm for Multiplication Explained (with Examples),2024-12-24 05:56:57+00:00,2024,12,Tuesday
T18TmFTCDWQ,How to Generate 90 Degree Phase Shifted Signals using Flip-Flop ? | Digital Electronics,2024-12-05 04:58:11+00:00,2024,12,Thursday
-5N1FY8EC_8,Serial Binary Multiplier / Sequential Binary Multiplier (using Add and Shift Method),2024-11-16 17:39:01+00:00,2024,11,Saturday
GjmiiLzDzHI,Difference Between Arithmetic Shift and Logical Shift Operation #digitalelectronics,2024-11-03 17:38:38+00:00,2024,11,Sunday
mhHwA_f4qpc,Serial Adder Explained (Digital Electronics),2024-10-27 15:12:00+00:00,2024,10,Sunday
3MxPIunl2wY,Feedback Amplifier: Phase Margin and Frequency Compensation in Feedback Amplifiers,2024-10-20 17:09:32+00:00,2024,10,Sunday
CDmDXRGjbIU,Stability in Feedback Amplifier Explained | Stability Analysis using Bode Plot,2024-09-30 05:46:10+00:00,2024,9,Monday
A_LFVBWYZME,Karnaugh Map (K-map) Rules for Simplification Explained,2024-09-14 14:08:33+00:00,2024,9,Saturday
i9kyBz3K9i4,Voltage Divider Rule for Capacitors Explained,2024-09-04 06:08:00+00:00,2024,9,Wednesday
OnbuLh2h-nw,Current Shunt Feedback Amplifier Explained | Feedback Amplifier,2024-08-26 17:58:25+00:00,2024,8,Monday
sp_z2poAH8I,Current Series Feedback Amplifier Explained | Feedback Amplifier,2024-08-18 14:17:26+00:00,2024,8,Sunday
yyF-V5ZpAZg,Voltage Shunt Feedback Amplifier Explained | Feedback Amplifier,2024-08-12 16:23:55+00:00,2024,8,Monday
uJUwQggpQPo,Identify the Feedback Topology | Feedback Amplifier,2024-08-06 15:36:54+00:00,2024,8,Tuesday
IuMlSU-D6lw,Voltage Series Feedback Amplifier Explained | Feedback Amplifier,2024-08-02 06:56:37+00:00,2024,8,Friday
VcHmE8rKHXA,Input Bias Current in Operational Amplifiers #opamp,2024-07-27 03:35:20+00:00,2024,7,Saturday
OoNluE5RLNg,Feedback Topologies in Amplifier Explained | Feedback Amplifier,2024-07-22 05:28:22+00:00,2024,7,Monday
HLnOESI1eps,Feedback Amplifier : Effect of Negative Feedback on Amplifier Characteristics,2024-07-15 17:30:09+00:00,2024,7,Monday
__8f6AXenYo,Introduction to Feedback Amplifier | The concept of Negative Feedback and its advantages,2024-07-07 17:37:59+00:00,2024,7,Sunday
GlnFwmUl8yk,What is Thermistor ? Types of Thermistors | Applications of Thermistor Explained,2024-06-26 16:45:10+00:00,2024,6,Wednesday
